code,label,full_screened_denominator_n,full_screened_present_n,full_screened_percent,full_screened_rank,exact_text_unique_denominator_n,exact_text_unique_present_n,exact_text_unique_percent,exact_duplicate_excess_positive_records_n,positive_count_reduction_percent,percentage_point_difference,exact_text_unique_rank,rank_change
bank_log_sale,Compromised bank log sale or discussion,980,178,18.163,1,463,177,38.229,1,0.562,20.066,1,0
crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,980,126,12.857,2,463,126,27.214,0,0.0,14.357,2,0
fullz_identity_package,Fullz or identity package,980,124,12.653,3,463,124,26.782,0,0.0,14.129,3,0
escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",980,121,12.347,4,463,120,25.918,1,0.826,13.571,4,0
cashout_laundering_service,Cash-out or laundering service,980,118,12.041,5,463,118,25.486,0,0.0,13.445,5,0
jurisdiction_localisation,Jurisdiction-specific bank or account reference,980,117,11.939,6,463,116,25.054,1,0.855,13.115,7,1
bank_drop_sale,Bank drop sale or bank-drop infrastructure,980,116,11.837,7,463,116,25.054,0,0.0,13.217,6,-1
tutorial_training_recruitment,"Tutorial, guide, or training content",980,104,10.612,8,463,104,22.462,0,0.0,11.85,8,0
telegram_off_platform,Telegram or private-channel coordination reference,980,82,8.367,9,463,81,17.495,1,1.22,9.128,9,0
email_access_takeover,Email-access-enabled account takeover,980,62,6.327,10,463,62,13.391,0,0.0,7.064,10,0
mule_recruitment,Mule recruitment or account-holder solicitation,980,9,0.918,11,463,9,1.944,0,0.0,1.026,11,0
