rank,code,label,note_count,hit_count,finding,analysis,result_type,aml_or_detection_relevance
1,bank_log_sale,Compromised bank log sale or discussion,182,1108,Bank-log sale or discussion terms are the most frequent provisional typology.,"Bank-log material indicates demand for access to existing accounts rather than only newly opened accounts. The operational risk is account takeover followed by rapid monetisation, especially where logs are bundled with recovery-channel access.",Can support a typology of account-takeover commodity markets.,"Prioritise unusual device/session, geolocation, cookie/session reuse, and recovery-channel changes."
2,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",134,764,"Escrow, trust, reputation, and scam-risk discourse are prominent.","A large trust-risk signal means the dataset also captures criminal-market governance problems. This is analytically important because some listings may be scams against other offenders, copied listings, or reputation-building content.",Can support assessment of marketplace reliability and deception within illicit markets.,"Avoid treating all listings as real inventory; code credibility, repetition, escrow claims, and scam warnings separately."
3,fullz_identity_package,Fullz or identity package,128,499,Fullz and identity-package terms appear frequently in the provisional coding.,"Fullz/identity signals connect bank drops and account takeover to KYC bypass, impersonation, account opening, and recovery-channel control. This is a key bridge between data theft and financial crime.",Can support analysis of identity-enabled financial-crime workflows.,"Monitor identity-document reuse, abnormal KYC metadata, email/phone changes, and synthetic identity patterns."
4,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,127,603,Cryptocurrency payment and conversion terms appear in the provisional coding.,"Crypto references occur alongside cash-out, escrow, and market-payment language. This suggests crypto is not just a payment method or was actually converted, obfuscated, or settled; those are hypotheses for human review.",Can support analysis of crypto-to-fiat conversion points and settlement rails.,"Focus on fiat off-ramp points, exchange account misuse, rapid movement after crypto conversion, and mule account inflows."
5,bank_drop_sale,Bank drop sale or bank-drop infrastructure,121,748,Bank-drop terms appear frequently in the provisional coding.,"Bank-drop signals indicate demand for accounts that can receive, hold, or move funds. This aligns with mule/drop account misuse and may include both compromised accounts and accounts opened or controlled for criminal use.",Can support a bank-drop/mule-account typology.,"Look for newly active dormant accounts, inbound third-party funds, rapid onward transfer, and mismatch between customer profile and transaction behaviour."
6,cashout_laundering_service,Cash-out or laundering service,120,422,Cash-out and laundering-service terms appear in the provisional rule-based coding.,"The rule-based coding identifies terms concerning cash-out, laundering, and conversion services. These lexical matches are consistent with a downstream-monetisation hypothesis, but they do not show that a service was genuine, supplied, or used. The completed ICR supports coder consistency, but direct contextual evidence and close reading remain required before making a substantive movement-of-value claim.",Can support a typology of conversion services and post-compromise monetisation.,"Monitor abrupt inbound/outbound movement, beneficiary changes, mule-like receiving behaviour, and crypto-to-bank conversion narratives."
7,jurisdiction_localisation,Jurisdiction-specific bank or account reference,120,701,Jurisdiction and domestic-account terms appear across sources.,"The rule-based coding records country and local-bank terms near bank, account, drop, or log terms. It does not establish actor preference, reduced scrutiny, or completed domestic or cross-border money movement.",Can support analysis of localised mule/drop demand and geography-specific bank targeting.,"Assess domestic receiving-account patterns, especially where victim geography and receiving-account geography align."
8,tutorial_training_recruitment,"Tutorial, guide, or training content",107,493,Tutorial/method/training material is substantial.,"The dataset includes content that appears to lower barriers to entry or package criminal knowledge. This supports analysis of capability diffusion, recruitment, and monetisation of know-how, not just commodity sales.",Can support a typology of criminal learning and recruitment infrastructure.,Consider education-style material as a risk amplifier that can expand participation and standardise methods.
9,telegram_off_platform,Telegram or private-channel coordination reference,87,252,Telegram and private-channel references appear in market-related records.,"The rule identifies Telegram or private-channel terms in market-related text. It does not by itself show that negotiation, proof, or transaction coordination moved elsewhere. Human review is required before interpreting off-platform migration; captured forum material may omit context outside the retained record.",Can support a validation target concerning private-channel references and possible coordination.,Treat open-forum posts as lead generation; do not assume the whole transaction is visible in the captured page.
10,email_access_takeover,Email-access-enabled account takeover,64,223,Email access is a recurring enhancer of bank-log/account-takeover risk.,"Email access can strengthen persistence and allow control over password resets, notifications, and recovery paths. Where bank access and email access appear together, the account-takeover risk is materially higher.",Can support an enhanced-risk sub-typology of bank log plus recovery-channel compromise.,"Treat email-change, inbox-rule, recovery-channel, and MFA-reset events as linked financial-crime risk indicators."
11,mule_recruitment,Mule recruitment or account-holder solicitation,10,16,Mule/account-holder recruitment is present but less frequent than commodity and cash-out signals.,"The lower count does not mean low importance. Mule recruitment can be episodic, coded, or shifted to private channels. The signal is sufficient to support a targeted sub-analysis rather than a dominant dataset-wide claim.",Can support a focused account-holder recruitment sub-study.,"Assess direct-owner language, long-term loading claims, account-age preferences, and payment-for-use narratives."
12,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,1,6,Explicit vulnerable migrant/student exploitation is rare in the captured text.,"The project rationale is strongly concerned with migrants and vulnerable groups, but deterministic coding finds only a small explicit signal. This should be reported carefully: the dataset may still contain indirect evidence, but Phase 3 does not support broad prevalence claims without manual review.","Can support a research gap/targeted sampling question, not a broad prevalence conclusion yet.",Use manual sampling and targeted searches before making claims about migrant/student exploitation prevalence.
