population,population_definition,removed_source,code,label,remaining_denominator_n,remaining_positive_records_n,remaining_positive_percent,full_rank_by_record_count,remaining_rank_by_record_count,rank_change
full_screened,All combined records evaluated by the deterministic screen,1. Dread,bank_drop_sale,Bank drop sale or bank-drop infrastructure,911,97,10.648,7,7,0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,bank_log_sale,Compromised bank log sale or discussion,911,163,17.892,1,1,0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,cashout_laundering_service,Cash-out or laundering service,911,108,11.855,5,4,-1
full_screened,All combined records evaluated by the deterministic screen,1. Dread,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,911,116,12.733,2,2,0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,email_access_takeover,Email-access-enabled account takeover,911,59,6.476,10,10,0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",911,99,10.867,4,6,2
full_screened,All combined records evaluated by the deterministic screen,1. Dread,fullz_identity_package,Fullz or identity package,911,113,12.404,3,3,0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,jurisdiction_localisation,Jurisdiction-specific bank or account reference,911,100,10.977,6,5,-1
full_screened,All combined records evaluated by the deterministic screen,1. Dread,mule_recruitment,Mule recruitment or account-holder solicitation,911,7,0.768,11,11,0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,telegram_off_platform,Telegram or private-channel coordination reference,911,69,7.574,9,9,0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,tutorial_training_recruitment,"Tutorial, guide, or training content",911,87,9.55,8,8,0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,bank_drop_sale,Bank drop sale or bank-drop infrastructure,887,84,9.47,7,8,1
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,bank_log_sale,Compromised bank log sale or discussion,887,149,16.798,1,1,0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,cashout_laundering_service,Cash-out or laundering service,887,109,12.289,5,4,-1
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,887,112,12.627,2,3,1
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,email_access_takeover,Email-access-enabled account takeover,887,55,6.201,10,10,0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",887,121,13.641,4,2,-2
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,fullz_identity_package,Fullz or identity package,887,100,11.274,3,6,3
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,jurisdiction_localisation,Jurisdiction-specific bank or account reference,887,104,11.725,6,5,-1
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,mule_recruitment,Mule recruitment or account-holder solicitation,887,9,1.015,11,11,0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,telegram_off_platform,Telegram or private-channel coordination reference,887,82,9.245,9,9,0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,tutorial_training_recruitment,"Tutorial, guide, or training content",887,92,10.372,8,7,-1
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,bank_drop_sale,Bank drop sale or bank-drop infrastructure,892,105,11.771,7,5,-2
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,bank_log_sale,Compromised bank log sale or discussion,892,163,18.274,1,1,0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,cashout_laundering_service,Cash-out or laundering service,892,115,12.892,5,4,-1
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,892,120,13.453,2,3,1
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,email_access_takeover,Email-access-enabled account takeover,892,58,6.502,10,10,0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",892,101,11.323,4,7,3
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,fullz_identity_package,Fullz or identity package,892,122,13.677,3,2,-1
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,jurisdiction_localisation,Jurisdiction-specific bank or account reference,892,105,11.771,6,6,0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,mule_recruitment,Mule recruitment or account-holder solicitation,892,9,1.009,11,11,0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,telegram_off_platform,Telegram or private-channel coordination reference,892,81,9.081,9,9,0
full_screened,All combined records evaluated by the deterministic screen,11. Legit Market,tutorial_training_recruitment,"Tutorial, guide, or training content",892,101,11.323,8,8,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,bank_drop_sale,Bank drop sale or bank-drop infrastructure,922,114,12.364,7,7,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,bank_log_sale,Compromised bank log sale or discussion,922,176,19.089,1,1,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,cashout_laundering_service,Cash-out or laundering service,922,118,12.798,5,5,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,922,126,13.666,2,2,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,email_access_takeover,Email-access-enabled account takeover,922,62,6.725,10,10,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",922,121,13.124,4,4,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,fullz_identity_package,Fullz or identity package,922,124,13.449,3,3,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,jurisdiction_localisation,Jurisdiction-specific bank or account reference,922,117,12.69,6,6,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,mule_recruitment,Mule recruitment or account-holder solicitation,922,9,0.976,11,11,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,telegram_off_platform,Telegram or private-channel coordination reference,922,82,8.894,9,9,0
full_screened,All combined records evaluated by the deterministic screen,12. TORCH Tor Search,tutorial_training_recruitment,"Tutorial, guide, or training content",922,104,11.28,8,8,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,bank_drop_sale,Bank drop sale or bank-drop infrastructure,979,116,11.849,7,7,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,bank_log_sale,Compromised bank log sale or discussion,979,178,18.182,1,1,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,cashout_laundering_service,Cash-out or laundering service,979,118,12.053,5,5,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,979,126,12.87,2,2,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,email_access_takeover,Email-access-enabled account takeover,979,62,6.333,10,10,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",979,121,12.36,4,4,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,fullz_identity_package,Fullz or identity package,979,124,12.666,3,3,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,jurisdiction_localisation,Jurisdiction-specific bank or account reference,979,117,11.951,6,6,0
full_screened,All combined records evaluated by the deterministic screen,13. Bank Logs,mule_recruitment,Mule recruitment or account-holder solicitation,979,9,0.919,11,11,0
