source,code,label,note_count,hit_count
(no_source),bank_drop_sale,Bank drop sale or bank-drop infrastructure,5,18
(no_source),telegram_off_platform,Telegram or private-channel coordination reference,5,9
(no_source),bank_log_sale,Compromised bank log sale or discussion,4,16
(no_source),fullz_identity_package,Fullz or identity package,4,13
(no_source),market_access_limitation,"Market access limitation, outage, login wall, or collection barrier",4,15
(no_source),jurisdiction_localisation,Jurisdiction-specific bank or account reference,3,10
(no_source),tutorial_training_recruitment,"Tutorial, guide, or training content",3,9
(no_source),cashout_laundering_service,Cash-out or laundering service,2,4
(no_source),email_access_takeover,Email-access-enabled account takeover,2,6
(no_source),escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",2,65
(no_source),crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,1,11
(no_source),mule_recruitment,Mule recruitment or account-holder solicitation,1,2
(no_source),vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,1,6
1. Dread,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",22,95
1. Dread,bank_drop_sale,Bank drop sale or bank-drop infrastructure,19,71
1. Dread,jurisdiction_localisation,Jurisdiction-specific bank or account reference,17,70
1. Dread,tutorial_training_recruitment,"Tutorial, guide, or training content",17,54
1. Dread,bank_log_sale,Compromised bank log sale or discussion,15,57
1. Dread,telegram_off_platform,Telegram or private-channel coordination reference,13,28
1. Dread,fullz_identity_package,Fullz or identity package,11,35
1. Dread,cashout_laundering_service,Cash-out or laundering service,10,17
1. Dread,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,10,53
1. Dread,email_access_takeover,Email-access-enabled account takeover,3,5
1. Dread,mule_recruitment,Mule recruitment or account-holder solicitation,2,2
10. Tor Shop,bank_drop_sale,Bank drop sale or bank-drop infrastructure,32,182
10. Tor Shop,bank_log_sale,Compromised bank log sale or discussion,29,84
10. Tor Shop,fullz_identity_package,Fullz or identity package,24,80
10. Tor Shop,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,14,27
10. Tor Shop,jurisdiction_localisation,Jurisdiction-specific bank or account reference,13,81
10. Tor Shop,tutorial_training_recruitment,"Tutorial, guide, or training content",12,36
10. Tor Shop,cashout_laundering_service,Cash-out or laundering service,9,20
10. Tor Shop,email_access_takeover,Email-access-enabled account takeover,7,15
11. Legit Market,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",20,55
11. Legit Market,bank_log_sale,Compromised bank log sale or discussion,15,147
11. Legit Market,jurisdiction_localisation,Jurisdiction-specific bank or account reference,12,30
11. Legit Market,bank_drop_sale,Bank drop sale or bank-drop infrastructure,11,68
11. Legit Market,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,6,24
11. Legit Market,email_access_takeover,Email-access-enabled account takeover,4,12
11. Legit Market,cashout_laundering_service,Cash-out or laundering service,3,11
11. Legit Market,market_access_limitation,"Market access limitation, outage, login wall, or collection barrier",3,6
11. Legit Market,tutorial_training_recruitment,"Tutorial, guide, or training content",3,9
11. Legit Market,fullz_identity_package,Fullz or identity package,2,3
11. Legit Market,telegram_off_platform,Telegram or private-channel coordination reference,1,2
12. TORCH Tor Search,bank_drop_sale,Bank drop sale or bank-drop infrastructure,2,21
12. TORCH Tor Search,bank_log_sale,Compromised bank log sale or discussion,2,14
14. Lonely Road,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,3,15
14. Lonely Road,bank_log_sale,Compromised bank log sale or discussion,1,1
14. Lonely Road,jurisdiction_localisation,Jurisdiction-specific bank or account reference,1,1
15. Tenebris,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,4,30
15. Tenebris,telegram_off_platform,Telegram or private-channel coordination reference,4,24
15. Tenebris,bank_log_sale,Compromised bank log sale or discussion,3,26
15. Tenebris,cashout_laundering_service,Cash-out or laundering service,3,8
15. Tenebris,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",3,14
15. Tenebris,tutorial_training_recruitment,"Tutorial, guide, or training content",3,32
15. Tenebris,bank_drop_sale,Bank drop sale or bank-drop infrastructure,1,1
15. Tenebris,email_access_takeover,Email-access-enabled account takeover,1,2
15. Tenebris,jurisdiction_localisation,Jurisdiction-specific bank or account reference,1,11
17.  XmrBazaar,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,2,27
17.  XmrBazaar,bank_drop_sale,Bank drop sale or bank-drop infrastructure,1,3
17.  XmrBazaar,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",1,14
17.  XmrBazaar,tutorial_training_recruitment,"Tutorial, guide, or training content",1,5
2. Altenen,fullz_identity_package,Fullz or identity package,19,71
2. Altenen,tutorial_training_recruitment,"Tutorial, guide, or training content",19,112
2. Altenen,telegram_off_platform,Telegram or private-channel coordination reference,18,44
2. Altenen,bank_log_sale,Compromised bank log sale or discussion,15,39
2. Altenen,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,13,27
2. Altenen,cashout_laundering_service,Cash-out or laundering service,9,30
2. Altenen,email_access_takeover,Email-access-enabled account takeover,4,6
2. Altenen,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",3,6
2. Altenen,mule_recruitment,Mule recruitment or account-holder solicitation,3,4
2. Altenen,bank_drop_sale,Bank drop sale or bank-drop infrastructure,2,2
3. Pitch,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",20,138
3. Pitch,telegram_off_platform,Telegram or private-channel coordination reference,20,64
3. Pitch,tutorial_training_recruitment,"Tutorial, guide, or training content",20,115
3. Pitch,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,16,156
3. Pitch,bank_log_sale,Compromised bank log sale or discussion,15,89
3. Pitch,jurisdiction_localisation,Jurisdiction-specific bank or account reference,13,26
3. Pitch,bank_drop_sale,Bank drop sale or bank-drop infrastructure,12,45
3. Pitch,cashout_laundering_service,Cash-out or laundering service,12,39
3. Pitch,fullz_identity_package,Fullz or identity package,12,45
3. Pitch,email_access_takeover,Email-access-enabled account takeover,9,19
3. Pitch,mule_recruitment,Mule recruitment or account-holder solicitation,3,7
4. Caders Heven,bank_log_sale,Compromised bank log sale or discussion,28,115
4. Caders Heven,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,24,75
4. Caders Heven,cashout_laundering_service,Cash-out or laundering service,22,46
4. Caders Heven,fullz_identity_package,Fullz or identity package,12,34
4. Caders Heven,bank_drop_sale,Bank drop sale or bank-drop infrastructure,6,18
4. Caders Heven,email_access_takeover,Email-access-enabled account takeover,4,8
4. Caders Heven,jurisdiction_localisation,Jurisdiction-specific bank or account reference,2,2
4. Caders Heven,tutorial_training_recruitment,"Tutorial, guide, or training content",2,2
4. Caders Heven,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",1,1
5. CardPro,cashout_laundering_service,Cash-out or laundering service,32,182
5. CardPro,telegram_off_platform,Telegram or private-channel coordination reference,22,71
5. CardPro,jurisdiction_localisation,Jurisdiction-specific bank or account reference,11,66
5. CardPro,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,7,29
5. CardPro,bank_drop_sale,Bank drop sale or bank-drop infrastructure,6,32
5. CardPro,fullz_identity_package,Fullz or identity package,5,39
5. CardPro,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",4,10
5. CardPro,tutorial_training_recruitment,"Tutorial, guide, or training content",3,3
5. CardPro,bank_log_sale,Compromised bank log sale or discussion,2,5
5. CardPro,market_access_limitation,"Market access limitation, outage, login wall, or collection barrier",1,1
5. CardPro,mule_recruitment,Mule recruitment or account-holder solicitation,1,1
6. The X Wave Market,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",41,305
6. The X Wave Market,fullz_identity_package,Fullz or identity package,20,104
6. The X Wave Market,cashout_laundering_service,Cash-out or laundering service,10,41
6. The X Wave Market,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,10,46
6. The X Wave Market,tutorial_training_recruitment,"Tutorial, guide, or training content",10,66
6. The X Wave Market,bank_drop_sale,Bank drop sale or bank-drop infrastructure,9,55
6. The X Wave Market,jurisdiction_localisation,Jurisdiction-specific bank or account reference,6,31
6. The X Wave Market,bank_log_sale,Compromised bank log sale or discussion,5,21
6. The X Wave Market,email_access_takeover,Email-access-enabled account takeover,3,4
7. Meta Banklogs,jurisdiction_localisation,Jurisdiction-specific bank or account reference,36,363
7. Meta Banklogs,bank_log_sale,Compromised bank log sale or discussion,29,249
7. Meta Banklogs,email_access_takeover,Email-access-enabled account takeover,21,122
7. Meta Banklogs,bank_drop_sale,Bank drop sale or bank-drop infrastructure,14,231
7. Meta Banklogs,fullz_identity_package,Fullz or identity package,12,59
7. Meta Banklogs,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,6,39
7. Meta Banklogs,tutorial_training_recruitment,"Tutorial, guide, or training content",6,24
7. Meta Banklogs,cashout_laundering_service,Cash-out or laundering service,4,11
7. Meta Banklogs,telegram_off_platform,Telegram or private-channel coordination reference,2,6
7. Meta Banklogs,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",1,2
7. Meta Banklogs,market_access_limitation,"Market access limitation, outage, login wall, or collection barrier",1,2
8. Secure ccSeller,fullz_identity_package,Fullz or identity package,6,14
8. Secure ccSeller,jurisdiction_localisation,Jurisdiction-specific bank or account reference,5,10
8. Secure ccSeller,bank_log_sale,Compromised bank log sale or discussion,4,26
8. Secure ccSeller,email_access_takeover,Email-access-enabled account takeover,4,10
8. Secure ccSeller,tutorial_training_recruitment,"Tutorial, guide, or training content",4,10
8. Secure ccSeller,bank_drop_sale,Bank drop sale or bank-drop infrastructure,1,1
8. Secure ccSeller,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,1,2
8. Secure ccSeller,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",1,1
9. Deep Shop,bank_log_sale,Compromised bank log sale or discussion,15,219
9. Deep Shop,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",15,58
9. Deep Shop,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,10,42
9. Deep Shop,cashout_laundering_service,Cash-out or laundering service,4,13
9. Deep Shop,tutorial_training_recruitment,"Tutorial, guide, or training content",4,16
9. Deep Shop,email_access_takeover,Email-access-enabled account takeover,2,14
9. Deep Shop,telegram_off_platform,Telegram or private-channel coordination reference,2,4
9. Deep Shop,fullz_identity_package,Fullz or identity package,1,2
